timestamp,date_key,date,year,quarter,month,month_name,week,day,day_of_week,day_of_week_number,hour,shift_id,shift_name,shift_start_hour,shift_end_hour
2022-01-01 00:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,0,3,Noční,22,6
2022-01-01 01:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,1,3,Noční,22,6
2022-01-01 02:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,2,3,Noční,22,6
2022-01-01 03:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,3,3,Noční,22,6
2022-01-01 04:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,4,3,Noční,22,6
2022-01-01 05:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,5,3,Noční,22,6
2022-01-01 06:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,6,1,Ranní,6,14
2022-01-01 07:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,7,1,Ranní,6,14
2022-01-01 08:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,8,1,Ranní,6,14
2022-01-01 09:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,9,1,Ranní,6,14
2022-01-01 10:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,10,1,Ranní,6,14
2022-01-01 11:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,11,1,Ranní,6,14
2022-01-01 12:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,12,1,Ranní,6,14
2022-01-01 13:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,13,1,Ranní,6,14
2022-01-01 14:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,14,2,Odpolední,14,22
2022-01-01 15:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,15,2,Odpolední,14,22
2022-01-01 16:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,16,2,Odpolední,14,22
2022-01-01 17:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,17,2,Odpolední,14,22
2022-01-01 18:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,18,2,Odpolední,14,22
2022-01-01 19:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,19,2,Odpolední,14,22
2022-01-01 20:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,20,2,Odpolední,14,22
2022-01-01 21:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,21,2,Odpolední,14,22
2022-01-01 22:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,22,3,Noční,22,6
2022-01-01 23:00:00,20220101,2022-01-01,2022,1,1,Leden,52,1,Sobota,6,23,3,Noční,22,6
2022-01-02 00:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,0,3,Noční,22,6
2022-01-02 01:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,1,3,Noční,22,6
2022-01-02 02:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,2,3,Noční,22,6
2022-01-02 03:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,3,3,Noční,22,6
2022-01-02 04:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,4,3,Noční,22,6
2022-01-02 05:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,5,3,Noční,22,6
2022-01-02 06:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,6,1,Ranní,6,14
2022-01-02 07:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,7,1,Ranní,6,14
2022-01-02 08:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,8,1,Ranní,6,14
2022-01-02 09:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,9,1,Ranní,6,14
2022-01-02 10:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,10,1,Ranní,6,14
2022-01-02 11:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,11,1,Ranní,6,14
2022-01-02 12:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,12,1,Ranní,6,14
2022-01-02 13:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,13,1,Ranní,6,14
2022-01-02 14:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,14,2,Odpolední,14,22
2022-01-02 15:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,15,2,Odpolední,14,22
2022-01-02 16:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,16,2,Odpolední,14,22
2022-01-02 17:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,17,2,Odpolední,14,22
2022-01-02 18:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,18,2,Odpolední,14,22
2022-01-02 19:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,19,2,Odpolední,14,22
2022-01-02 20:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,20,2,Odpolední,14,22
2022-01-02 21:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,21,2,Odpolední,14,22
2022-01-02 22:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,22,3,Noční,22,6
2022-01-02 23:00:00,20220102,2022-01-02,2022,1,1,Leden,52,2,Neděle,7,23,3,Noční,22,6
2022-01-03 00:00:00,20220103,2022-01-03,2022,1,1,Leden,1,3,Pondělí,1,0,3,Noční,22,6
2022-01-03 01:00:00,20220103,2022-01-03,2022,1,1,Leden,1,3,Pondělí,1,1,3,Noční,22,6
2022-01-03 02:00:00,20220103,2022-01-03,2022,1,1,Leden,1,3,Pondělí,1,2,3,Noční,22,6
2022-01-03 03:00:00,20220103,2022-01-03,2022,1,1,Leden,1,3,Pondělí,1,3,3,Noční,22,6
